library,term,pvalue,odds_ratio,combined_score,overlap_genes,adj_pvalue
GO_Biological_Process_2023,Cellular Response To Insulin Stimulus (GO:0032869),0.4790942585697632,1.5518838304552591,1.141966005927008,IRS2,0.5248556984721382
GO_Biological_Process_2023,Positive Regulation Of Protein Modification Process (GO:0031401),0.4347702812509776,1.3658706156359717,1.1376848237584372,NNMT;TMEM119,0.49461720255678016
Reactome_2022,Generic Transcription Pathway R-HSA-212436,0.37773029972413374,1.1673352674171653,1.1364882354776766,COL1A1;SMAD1;PHC2;DDIT3;BRCA1;LDB2;FOXO3;E2F7;FKBP5,0.5264616052405114
GO_Biological_Process_2023,Protein Polyubiquitination (GO:0000209),0.4369999795160923,1.359703765227021,1.125592868133278,BRCA1;TRIM45,0.49564881632299473
GO_Biological_Process_2023,Regulation Of Organelle Organization (GO:0033043),0.4825231566060633,1.5361305361305362,1.1194188238932659,NEXN,0.5275836848494311
GO_Biological_Process_2023,Response To UV (GO:0009411),0.4825231566060633,1.5361305361305362,1.1194188238932659,MFAP4,0.5275836848494311
GO_Biological_Process_2023,Visual Perception (GO:0007601),0.4859296547793063,1.5206923076923078,1.0974705739056227,COL1A1,0.5307919649873083
Reactome_2022,Vesicle-mediated Transport R-HSA-5653656,0.40541449033398663,1.2078686960016074,1.0905185779834219,COL1A1;SORT1;RAB7B;DNM1;AP1M1,0.5397458587730091
KEGG_2021_Human,Amyotrophic lateral sclerosis,0.4273965679468914,1.2665339335180055,1.07660826164328,GPX3;DDIT3;TUBA4A,0.5684286542845374
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,0.4893138983023021,1.5055597867479056,1.0761004785095143,ABCA4,0.5804095708585818
GO_Biological_Process_2023,Sensory Perception Of Light Stimulus (GO:0050953),0.4893138983023021,1.5055597867479056,1.0761004785095143,COL1A1,0.533969729797852
Reactome_2022,Mitotic Anaphase R-HSA-68882,0.4502782741065434,1.3238287832827773,1.0562690865572664,CENPP;TUBA4A,0.5632329631361552
GO_Biological_Process_2023,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),0.4502782741065434,1.3238287832827773,1.0562690865572664,PER1;CFLAR,0.5052272882064989
KEGG_2021_Human,Ras signaling pathway,0.4502782741065434,1.3238287832827773,1.0562690865572664,RGL1;RASGRP2,0.5730814397719644
KEGG_2021_Human,Protein digestion and absorption,0.49267603140886124,1.4907239819004525,1.0552886617859483,COL1A1,0.5858827707077455
GO_Biological_Process_2023,Mitochondrial Gene Expression (GO:0140053),0.49267603140886124,1.4907239819004525,1.0552886617859483,FOXO3,0.5371172253186809
Reactome_2022,Mitotic Metaphase And Anaphase R-HSA-2555396,0.45247436877338154,1.3180308064028994,1.0452302744741184,CENPP;TUBA4A,0.5636971186394641
Reactome_2022,Phase I - Functionalization Of Compounds R-HSA-211945,0.496016197552214,1.4761762509335326,1.0350161016980663,MAOA,0.5852466246250991
KEGG_2021_Human,C-type lectin receptor signaling pathway,0.496016197552214,1.4761762509335326,1.0350161016980663,EGR2,0.5858827707077455
GO_Biological_Process_2023,Positive Regulation Of GTPase Activity (GO:0043547),0.4546655357742703,1.3122828120823309,1.0343324106783527,RGL1;RASGRP2,0.5074916208642303
GO_Biological_Process_2023,Positive Regulation Of Stress-Activated MAPK Cascade (GO:0032874),0.4993345391220597,1.4619082840236686,1.0152645867761303,GADD45B,0.543322383323519
GO_Biological_Process_2023,Cellular Response To Organonitrogen Compound (GO:0071417),0.4993345391220597,1.4619082840236686,1.0152645867761303,BRCA1,0.543322383323519
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),0.4590329677048006,1.300934207910952,1.0129506257053031,SERPINA3;VCAM1,0.5108446096041545
Reactome_2022,HATs Acetylate Histones R-HSA-3214847,0.5026311976365985,1.447912087912088,0.9960166740217915,JADE1,0.5883819268921862
KEGG_2021_Human,"Parathyroid hormone synthesis, secretion and action",0.5026311976365985,1.447912087912088,0.9960166740217915,CREB3L1,0.5858827707077455
Reactome_2022,"PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558",0.5026311976365985,1.447912087912088,0.9960166740217915,IRS2,0.5883819268921862
GO_Biological_Process_2023,Response To Calcium Ion (GO:0051592),0.5026311976365985,1.447912087912088,0.9960166740217915,RASGRP2,0.5463805281852386
Reactome_2022,Resolution Of Sister Chromatid Cohesion R-HSA-2500257,0.5026311976365985,1.447912087912088,0.9960166740217915,CENPP,0.5883819268921862
Reactome_2022,Chromatin Modifying Enzymes R-HSA-3247509,0.46338033757771313,1.289777952962817,0.9921063571161717,JADE1;SAP30,0.5683771833324556
Reactome_2022,Phase II - Conjugation Of Compounds R-HSA-156580,0.5059063136278865,1.434179970972424,0.9772556502230401,NNMT,0.5891232790549279
KEGG_2021_Human,Glucagon signaling pathway,0.5059063136278865,1.434179970972424,0.9772556502230401,CREB3L1,0.5858827707077455
GO_Biological_Process_2023,Monoatomic Ion Transport (GO:0006811),0.5059063136278865,1.434179970972424,0.9772556502230401,TRPC6,0.5483497555619522
GO_Biological_Process_2023,Positive Regulation Of Autophagy (GO:0010508),0.5059063136278865,1.434179970972424,0.9772556502230401,FOXO3,0.5483497555619522
GO_Biological_Process_2023,Positive Regulation Of T Cell Activation (GO:0050870),0.5059063136278865,1.434179970972424,0.9772556502230401,VCAM1,0.5483497555619522
Reactome_2022,O-linked Glycosylation R-HSA-5173105,0.5059063136278865,1.434179970972424,0.9772556502230401,ADAMTS1,0.5891232790549279
KEGG_2021_Human,Th17 cell differentiation,0.5059063136278865,1.434179970972424,0.9772556502230401,TGFBR2,0.5858827707077455
GO_Biological_Process_2023,Regulation Of Inflammatory Response (GO:0050727),0.4677074223067748,1.2788091980978438,0.9717828959885738,CCN3;TRIM45,0.515901023231418
Reactome_2022,Post-translational Protein Modification R-HSA-597592,0.4205378773643913,1.1133248662216417,0.9643850746264596,SMAD1;PHC2;ST8SIA1;ADAMTS1;ZBTB16;SPARCL1;BRCA1;RAB7B;TGFBR2;PNPLA2,0.5516467450132898
GO_Biological_Process_2023,Regulation Of Autophagy (GO:0010506),0.4698632904887578,1.2733936622230873,0.9618114212044351,DDIT3;FOXO3,0.5167576697743286
KEGG_2021_Human,Drug metabolism,0.5091600269245884,1.420704529115744,0.9589654944443032,MAOA,0.5858827707077455
GO_Biological_Process_2023,Positive Regulation Of Metabolic Process (GO:0009893),0.5091600269245884,1.420704529115744,0.9589654944443032,ACSL1,0.550814119598881
GO_Biological_Process_2023,Positive Regulation Of DNA Metabolic Process (GO:0051054),0.5091600269245884,1.420704529115744,0.9589654944443032,BRCA1,0.550814119598881
Reactome_2022,Degradation Of Extracellular Matrix R-HSA-1474228,0.5123924761587753,1.4074786324786326,0.941130844881334,ADAMTS1,0.5951225113719109
GO_Biological_Process_2023,Cellular Response To Salt (GO:1902075),0.5123924761587753,1.4074786324786326,0.941130844881334,RASGRP2,0.5532460549495325
GO_Biological_Process_2023,Cell-Matrix Adhesion (GO:0007160),0.5123924761587753,1.4074786324786326,0.941130844881334,VCAM1,0.5532460549495325
GO_Biological_Process_2023,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),0.4762998893057615,1.2574155935678135,0.9326347066090511,DUSP10;NEK10,0.5223034883704156
GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),0.4516584377222336,1.169646500521408,0.9296690210180629,DDIT3;RTKN2;LIF;CFLAR,0.5056415179280782
GO_Biological_Process_2023,DNA Damage Response (GO:0006974),0.46177584892320384,1.1988188976377954,0.9262982082802156,DDIT3;BRCA1;SAMHD1,0.5113655706302277
Reactome_2022,Mitotic Spindle Checkpoint R-HSA-69618,0.5156037993562202,1.3944954128440368,0.9237369646702739,CENPP,0.5972968688646083
KEGG_2021_Human,Shigellosis,0.48056487035006973,1.2469818274240692,0.9137796212923354,ARHGEF2;FOXO3,0.5808266058907318
GO_Biological_Process_2023,Cytoskeleton Organization (GO:0007010),0.518794133457392,1.3817482517482518,0.9067697125745418,FGD4,0.5585484731859278
GO_Biological_Process_2023,Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015),0.518794133457392,1.3817482517482518,0.9067697125745418,SAP30,0.5585484731859278
GO_Biological_Process_2023,T Cell Activation (GO:0042110),0.518794133457392,1.3817482517482518,0.9067697125745418,SOX4,0.5585484731859278
Reactome_2022,Diseases Of Metabolism R-HSA-5668914,0.4826894642758116,1.241828824553077,0.9045254688259907,MAOA;ADAMTS1,0.5740786695120319
Reactome_2022,Reproduction R-HSA-1474165,0.5251123782377586,1.3569368131868131,0.8740613299953246,BRCA1,0.6025454964358672
KEGG_2021_Human,Cholinergic synapse,0.5251123782377586,1.3569368131868131,0.8740613299953246,CREB3L1,0.5996244177960132
Reactome_2022,Negative Regulation Of PI3K/AKT Network R-HSA-199418,0.5251123782377586,1.3569368131868131,0.8740613299953246,IRS2,0.6025454964358672
KEGG_2021_Human,Endocytosis,0.4932325756771271,1.2166821705426356,0.8599198843736687,DNM1;TGFBR2,0.5858827707077455
KEGG_2021_Human,Leukocyte transendothelial migration,0.5282405585345831,1.344860449285228,0.8582946400248314,VCAM1,0.5996244177960132
GO_Biological_Process_2023,Regulation Of Cytoskeleton Organization (GO:0051493),0.5282405585345831,1.344860449285228,0.8582946400248314,NEXN,0.5665480799550299
Reactome_2022,Selenoamino Acid Metabolism R-HSA-2408522,0.5282405585345831,1.344860449285228,0.8582946400248314,NNMT,0.6025454964358672
Reactome_2022,HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567,0.5282405585345831,1.344860449285228,0.8582946400248314,BRCA1,0.6025454964358672
Reactome_2022,Epigenetic Regulation Of Gene Expression R-HSA-212165,0.5344357024328013,1.3213377926421406,0.8278760684748477,SAP30,0.6034387931266566
Reactome_2022,PPARA Activates Gene Expression R-HSA-1989781,0.5344357024328013,1.3213377926421406,0.8278760684748477,ACSL1,0.6034387931266566
GO_Biological_Process_2023,Cellular Response To Molecule Of Bacterial Origin (GO:0071219),0.5375029306097294,1.3098806366047746,0.813201494064047,HMGB2,0.5748366260754861
GO_Biological_Process_2023,Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902),0.5375029306097294,1.3098806366047746,0.813201494064047,NEK10,0.5748366260754861
GO_Biological_Process_2023,Cellular Response To Oxidative Stress (GO:0034599),0.5375029306097294,1.3098806366047746,0.813201494064047,FOXO3,0.5748366260754861
Reactome_2022,Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206,0.540550104467156,1.2986193293885602,0.7988689854731565,ACSL1,0.6072678755474852
Reactome_2022,Chromosome Maintenance R-HSA-73886,0.540550104467156,1.2986193293885602,0.7988689854731565,CENPP,0.6072678755474852
Reactome_2022,Metabolism Of Proteins R-HSA-392499,0.46956618347214996,1.0560306294754522,0.7983021560036716,SMAD1;PHC2;ST8SIA1;ZBTB16;BRCA1;TUBA4A;TGFBR2;AOPEP;ADAMTS1;SPARCL1;RAB7B;LMCD1;PNPLA2,0.5691546760753926
GO_Biological_Process_2023,Regulation Of Protein Kinase Activity (GO:0045859),0.5435773540502826,1.28754889178618,0.7848682467297439,RAP2B,0.5807803668750168
